X Y R
2500.0000 1100.0000 116.6649
2500.0000 1150.0000 128.4255
5000.0000 1150.0000 176.9814
2500.0000 1200.0000 136.5858
5000.0000 1200.0000 185.9533
7500.0000 1200.0000 245.2640
2500.0000 1250.0000 141.9795
5000.0000 1250.0000 193.9692
7500.0000 1250.0000 253.4798
2500.0000 1300.0000 145.6500
5000.0000 1300.0000 200.7069
7500.0000 1300.0000 261.4357
2500.0000 1350.0000 148.1776
5000.0000 1350.0000 206.2140
7500.0000 1350.0000 268.7870
2500.0000 1400.0000 149.9938
5000.0000 1400.0000 210.6672
7500.0000 1400.0000 275.3831
2500.0000 1450.0000 151.3164
5000.0000 1450.0000 214.2632
7500.0000 1450.0000 281.1961
2500.0000 1500.0000 152.3174
5000.0000 1500.0000 217.1784
7500.0000 1500.0000 286.2650
2500.0000 1550.0000 153.0816
5000.0000 1550.0000 219.5573
7500.0000 1550.0000 290.6610
2500.0000 1600.0000 153.6849
5000.0000 1600.0000 221.5145
7500.0000 1600.0000 294.4651
2500.0000 1650.0000 154.1631
5000.0000 1650.0000 223.1388
7500.0000 1650.0000 297.7576
2500.0000 1700.0000 154.5533
5000.0000 1700.0000 224.4988
7500.0000 1700.0000 300.6120
2500.0000 1750.0000 154.8718
5000.0000 1750.0000 225.6475
7500.0000 1750.0000 303.0935
2500.0000 1800.0000 155.1387
5000.0000 1800.0000 226.6259
7500.0000 1800.0000 305.2579
2500.0000 1850.0000 155.3618
5000.0000 1850.0000 227.4658
7500.0000 1850.0000 307.1530
2500.0000 1900.0000 155.5527
5000.0000 1900.0000 228.1923
7500.0000 1900.0000 308.8186
2500.0000 1950.0000 155.7155
5000.0000 1950.0000 228.8251
7500.0000 1950.0000 310.2886
2500.0000 2000.0000 155.8572
5000.0000 2000.0000 229.3800
7500.0000 2000.0000 311.5911
2500.0000 2050.0000 155.9800
5000.0000 2050.0000 229.8696
7500.0000 2050.0000 312.7499
2500.0000 2100.0000 156.0884
5000.0000 2100.0000 230.3040
7500.0000 2100.0000 313.7847
2500.0000 2150.0000 156.1836
5000.0000 2150.0000 230.6915
7500.0000 2150.0000 314.7122
2500.0000 2200.0000 156.2688
5000.0000 2200.0000 231.0389
7500.0000 2200.0000 315.5467
2500.0000 2250.0000 156.3443
5000.0000 2250.0000 231.3517
7500.0000 2250.0000 316.2999
2500.0000 2300.0000 156.4126
5000.0000 2300.0000 231.6347
7500.0000 2300.0000 316.9820
2500.0000 2350.0000 156.4738
5000.0000 2350.0000 231.8916
7500.0000 2350.0000 317.6016
2500.0000 2400.0000 156.5295
5000.0000 2400.0000 232.1258
7500.0000 2400.0000 318.1662
2500.0000 2450.0000 156.5799
5000.0000 2450.0000 232.3399
7500.0000 2450.0000 318.6820
2500.0000 2500.0000 156.6261
5000.0000 2500.0000 232.5363
7500.0000 2500.0000 319.1545
2500.0000 2550.0000 156.6682
5000.0000 2550.0000 232.7170
7500.0000 2550.0000 319.5883
2500.0000 2600.0000 156.7070
5000.0000 2600.0000 232.8837
7500.0000 2600.0000 319.9876
2500.0000 2650.0000 156.7426
5000.0000 2650.0000 233.0378
7500.0000 2650.0000 320.3559
2500.0000 2700.0000 156.7756
5000.0000 2700.0000 233.1807
7500.0000 2700.0000 320.6963
2500.0000 2750.0000 156.8060
5000.0000 2750.0000 233.3133
7500.0000 2750.0000 321.0115
2500.0000 2800.0000 156.8343
5000.0000 2800.0000 233.4368
7500.0000 2800.0000 321.3039
2500.0000 2850.0000 156.8604
5000.0000 2850.0000 233.5519
7500.0000 2850.0000 321.5756
2500.0000 2900.0000 156.8849
5000.0000 2900.0000 233.6593
7500.0000 2900.0000 321.8285
2500.0000 2950.0000 156.9076
5000.0000 2950.0000 233.7598
7500.0000 2950.0000 322.0642
2500.0000 3000.0000 156.9289
5000.0000 3000.0000 233.8539
7500.0000 3000.0000 322.2841
2500.0000 3050.0000 156.9488
5000.0000 3050.0000 233.9420
7500.0000 3050.0000 322.4895
2500.0000 3100.0000 156.9674
5000.0000 3100.0000 234.0248
7500.0000 3100.0000 322.6817
2500.0000 3150.0000 156.9848
5000.0000 3150.0000 234.1025
7500.0000 3150.0000 322.8617
2500.0000 3200.0000 157.0013
5000.0000 3200.0000 234.1756
7500.0000 3200.0000 323.0303
2500.0000 3250.0000 157.0166
5000.0000 3250.0000 234.2443
7500.0000 3250.0000 323.1884
2500.0000 3300.0000 157.0311
5000.0000 3300.0000 234.3091
7500.0000 3300.0000 323.3368
2500.0000 3350.0000 157.0446
5000.0000 3350.0000 234.3700
7500.0000 3350.0000 323.4762
2500.0000 3400.0000 157.0574
5000.0000 3400.0000 234.4275
7500.0000 3400.0000 323.6071
2500.0000 3450.0000 157.0694
5000.0000 3450.0000 234.4816
7500.0000 3450.0000 323.7302
2500.0000 3500.0000 157.0808
5000.0000 3500.0000 234.5327
7500.0000 3500.0000 323.8460
2500.0000 3550.0000 157.0915
5000.0000 3550.0000 234.5808
7500.0000 3550.0000 323.9548
2500.0000 3600.0000 157.1015
5000.0000 3600.0000 234.6262
7500.0000 3600.0000 324.0571
2500.0000 3650.0000 157.1110
5000.0000 3650.0000 234.6689
7500.0000 3650.0000 324.1534
2500.0000 3700.0000 157.1199
5000.0000 3700.0000 234.7092
7500.0000 3700.0000 324.2438
2500.0000 3750.0000 157.1283
5000.0000 3750.0000 234.7472
7500.0000 3750.0000 324.3289
2500.0000 3800.0000 157.1362
5000.0000 3800.0000 234.7830
7500.0000 3800.0000 324.4088
2500.0000 3850.0000 157.1436
5000.0000 3850.0000 234.8166
7500.0000 3850.0000 324.4839
2500.0000 3900.0000 157.1506
5000.0000 3900.0000 234.8482
7500.0000 3900.0000 324.5543
2500.0000 3950.0000 157.1571
5000.0000 3950.0000 234.8779
7500.0000 3950.0000 324.6203
2500.0000 4000.0000 157.1633
5000.0000 4000.0000 234.9058
7500.0000 4000.0000 324.6821
2500.0000 4050.0000 157.1690
5000.0000 4050.0000 234.9319
7500.0000 4050.0000 324.7399
2500.0000 4100.0000 157.1744
5000.0000 4100.0000 234.9562
7500.0000 4100.0000 324.7938
2500.0000 4150.0000 157.1794
5000.0000 4150.0000 234.9790
7500.0000 4150.0000 324.8441
2500.0000 4200.0000 157.1841
5000.0000 4200.0000 235.0002
7500.0000 4200.0000 324.8907
2500.0000 4250.0000 157.1884
5000.0000 4250.0000 235.0198
7500.0000 4250.0000 324.9340
2500.0000 4300.0000 157.1924
5000.0000 4300.0000 235.0380
7500.0000 4300.0000 324.9740
2500.0000 4350.0000 157.1961
5000.0000 4350.0000 235.0547
7500.0000 4350.0000 325.0108
2500.0000 4400.0000 157.1995
5000.0000 4400.0000 235.0701
7500.0000 4400.0000 325.0445
2500.0000 4450.0000 157.2026
5000.0000 4450.0000 235.0840
7500.0000 4450.0000 325.0752
2500.0000 4500.0000 157.2054
5000.0000 4500.0000 235.0967
7500.0000 4500.0000 325.1030
2500.0000 4550.0000 157.2079
5000.0000 4550.0000 235.1081
7500.0000 4550.0000 325.1279
2500.0000 4600.0000 157.2101
5000.0000 4600.0000 235.1182
7500.0000 4600.0000 325.1500
2500.0000 4650.0000 157.2120
5000.0000 4650.0000 235.1271
7500.0000 4650.0000 325.1694
2500.0000 4700.0000 157.2137
5000.0000 4700.0000 235.1347
7500.0000 4700.0000 325.1862
2500.0000 4750.0000 157.2151
5000.0000 4750.0000 235.1412
7500.0000 4750.0000 325.2003
2500.0000 4800.0000 157.2163
5000.0000 4800.0000 235.1464
7500.0000 4800.0000 325.2118
2500.0000 4850.0000 157.2172
5000.0000 4850.0000 235.1505
7500.0000 4850.0000 325.2207
2500.0000 4900.0000 157.2178
5000.0000 4900.0000 235.1534
7500.0000 4900.0000 325.2270
2500.0000 4950.0000 157.2182
5000.0000 4950.0000 235.1552
7500.0000 4950.0000 325.2308
2500.0000 5000.0000 157.2184
5000.0000 5000.0000 235.1557
7500.0000 5000.0000 325.2321
2500.0000 5050.0000 157.2182
5000.0000 5050.0000 235.1552
7500.0000 5050.0000 325.2309
2500.0000 5100.0000 157.2178
5000.0000 5100.0000 235.1534
7500.0000 5100.0000 325.2271
2500.0000 5150.0000 157.2172
5000.0000 5150.0000 235.1505
7500.0000 5150.0000 325.2207
2500.0000 5200.0000 157.2163
5000.0000 5200.0000 235.1465
7500.0000 5200.0000 325.2119
2500.0000 5250.0000 157.2151
5000.0000 5250.0000 235.1412
7500.0000 5250.0000 325.2004
2500.0000 5300.0000 157.2137
5000.0000 5300.0000 235.1348
7500.0000 5300.0000 325.1863
2500.0000 5350.0000 157.2120
5000.0000 5350.0000 235.1272
7500.0000 5350.0000 325.1697
2500.0000 5400.0000 157.2101
5000.0000 5400.0000 235.1183
7500.0000 5400.0000 325.1503
2500.0000 5450.0000 157.2079
5000.0000 5450.0000 235.1082
7500.0000 5450.0000 325.1282
2500.0000 5500.0000 157.2054
5000.0000 5500.0000 235.0968
7500.0000 5500.0000 325.1033
2500.0000 5550.0000 157.2026
5000.0000 5550.0000 235.0842
7500.0000 5550.0000 325.0755
2500.0000 5600.0000 157.1995
5000.0000 5600.0000 235.0702
7500.0000 5600.0000 325.0448
2500.0000 5650.0000 157.1961
5000.0000 5650.0000 235.0548
7500.0000 5650.0000 325.0112
2500.0000 5700.0000 157.1925
5000.0000 5700.0000 235.0381
7500.0000 5700.0000 324.9744
2500.0000 5750.0000 157.1884
5000.0000 5750.0000 235.0200
7500.0000 5750.0000 324.9345
2500.0000 5800.0000 157.1841
5000.0000 5800.0000 235.0003
7500.0000 5800.0000 324.8912
2500.0000 5850.0000 157.1795
5000.0000 5850.0000 234.9792
7500.0000 5850.0000 324.8446
2500.0000 5900.0000 157.1745
5000.0000 5900.0000 234.9564
7500.0000 5900.0000 324.7944
