X Y Tilt_Depth
7406.9797 800.0000 295.1388
7450.0000 788.7368 297.0528
7500.0000 784.2602 298.6734
7550.0000 787.9673 301.2474
7598.8568 800.0000 302.5338
7600.0000 800.2748 302.5043
7650.0000 821.2404 302.1107
7693.7550 850.0000 303.4235
7700.0000 854.6700 303.6334
7745.8310 900.0000 303.2705
7750.0000 905.3008 303.1801
7780.7835 950.0000 303.2881
7800.0000 990.0437 304.6111
7804.6882 1000.0000 304.5340
7821.8105 1050.0000 306.3170
7832.8910 1100.0000 307.5772
7839.5899 1150.0000 309.6296
7843.1355 1200.0000 311.3745
7844.4481 1250.0000 312.6718
7844.2321 1300.0000 314.2632
7843.0254 1350.0000 315.1704
7841.2300 1400.0000 315.7264
7839.1339 1450.0000 315.9517
7836.9334 1500.0000 315.8354
7834.7543 1550.0000 315.4038
7832.6718 1600.0000 314.7017
7830.7259 1650.0000 313.7787
7828.9341 1700.0000 312.6123
7827.2993 1750.0000 311.3451
7825.8165 1800.0000 310.0241
7824.4759 1850.0000 308.6769
7823.2658 1900.0000 307.3261
7822.1738 1950.0000 305.7864
7821.1879 2000.0000 304.7163
7820.2967 2050.0000 303.5363
7819.4901 2100.0000 302.3918
7818.7585 2150.0000 301.2887
7818.0938 2200.0000 300.2310
7817.4884 2250.0000 299.2205
7816.9359 2300.0000 298.2584
7816.4307 2350.0000 297.3443
7815.9676 2400.0000 296.4780
7815.5422 2450.0000 295.6575
7815.1508 2500.0000 294.8816
7814.7897 2550.0000 294.1484
7814.4562 2600.0000 293.4558
7814.1474 2650.0000 292.8020
7813.8611 2700.0000 292.1846
7813.5953 2750.0000 291.6020
7813.3479 2800.0000 291.0520
7813.1175 2850.0000 290.5327
7812.9026 2900.0000 290.0425
7812.7018 2950.0000 289.5796
7812.5141 3000.0000 289.1422
7812.3383 3050.0000 288.7291
7812.1736 3100.0000 288.3386
7812.0191 3150.0000 287.9697
7811.8741 3200.0000 287.6208
7811.7379 3250.0000 287.2911
7811.6098 3300.0000 286.9792
7811.4894 3350.0000 286.6843
7811.3760 3400.0000 286.4055
7811.2694 3450.0000 286.1418
7811.1689 3500.0000 285.8925
7811.0744 3550.0000 285.6568
7810.9853 3600.0000 285.4341
7810.9015 3650.0000 285.2237
7810.8225 3700.0000 285.0251
7810.7483 3750.0000 284.8375
7810.6784 3800.0000 284.6608
7810.6127 3850.0000 284.4941
7810.5511 3900.0000 284.3373
7810.4932 3950.0000 284.1898
7810.4389 4000.0000 284.0513
7810.3882 4050.0000 283.9214
7810.3407 4100.0000 283.8000
7810.2966 4150.0000 283.6865
7810.2554 4200.0000 283.5808
7810.2173 4250.0000 283.4827
7810.1820 4300.0000 283.3918
7810.1495 4350.0000 283.3080
7810.1198 4400.0000 283.2313
7810.0926 4450.0000 283.1611
7810.0681 4500.0000 283.0976
7810.0460 4550.0000 283.0404
7810.0264 4600.0000 282.9899
7810.0093 4650.0000 282.9452
7809.9944 4700.0000 282.9068
7809.9819 4750.0000 282.8743
7809.9718 4800.0000 282.8480
7809.9639 4850.0000 282.8276
7809.9583 4900.0000 282.8129
7809.9549 4950.0000 282.8041
7809.9537 5000.0000 282.8011
7809.9548 5050.0000 282.8040
7809.9582 5100.0000 282.8126
7809.9638 5150.0000 282.8272
7809.9716 5200.0000 282.8476
7809.9817 5250.0000 282.8740
7809.9942 5300.0000 282.9061
7810.0090 5350.0000 282.9444
7810.0262 5400.0000 282.9889
7810.0457 5450.0000 283.0395
7810.0677 5500.0000 283.0965
7810.0922 5550.0000 283.1599
7810.1193 5600.0000 283.2298
7810.1490 5650.0000 283.3065
7810.1815 5700.0000 283.3902
7810.2167 5750.0000 283.4809
7810.2548 5800.0000 283.5789
7810.2959 5850.0000 283.6845
7810.3401 5900.0000 283.7978
7810.3874 5950.0000 283.9191
7810.4382 6000.0000 284.0488
7810.4924 6050.0000 284.1873
7810.5502 6100.0000 284.3345
7810.6118 6150.0000 284.4912
7810.6774 6200.0000 284.6577
7810.7472 6250.0000 284.8343
7810.8215 6300.0000 285.0216
7810.9003 6350.0000 285.2201
7810.9841 6400.0000 285.4303
7811.0731 6450.0000 285.6528
7811.1676 6500.0000 285.8882
7811.2679 6550.0000 286.1373
7811.3745 6600.0000 286.4008
7811.4877 6650.0000 286.6793
7811.6081 6700.0000 286.9739
7811.7361 6750.0000 287.2855
7811.8722 6800.0000 287.6150
7812.0171 6850.0000 287.9635
7812.1715 6900.0000 288.3322
7812.3361 6950.0000 288.7223
7812.5117 7000.0000 289.1351
7812.6993 7050.0000 289.5721
7812.8999 7100.0000 290.0346
7813.1147 7150.0000 290.5245
7813.3450 7200.0000 291.0433
7813.5921 7250.0000 291.5929
7813.8578 7300.0000 292.1751
7814.1439 7350.0000 292.7917
7814.4524 7400.0000 293.4451
7814.7857 7450.0000 294.1371
7815.1465 7500.0000 294.8698
7815.5376 7550.0000 295.6450
7815.9626 7600.0000 296.4647
7816.4254 7650.0000 297.3306
7816.9302 7700.0000 298.2439
7817.4822 7750.0000 299.2052
7818.0871 7800.0000 300.2149
7818.7513 7850.0000 301.2720
7819.4822 7900.0000 302.3743
7820.2882 7950.0000 303.5180
7821.1785 8000.0000 304.6974
7822.1635 8050.0000 305.7525
7823.2546 8100.0000 307.3044
7824.4636 8150.0000 308.6548
7825.8030 8200.0000 310.0012
7827.2846 8250.0000 311.3220
7828.9180 8300.0000 312.5893
7830.7085 8350.0000 313.7557
7832.6531 8400.0000 314.6795
7834.7345 8450.0000 315.3826
7836.9129 8500.0000 315.8159
