Position  Profile
  0.00      -0.2561
 50.00      -0.2173
100.00      -0.1761
150.00      -0.1323
200.00      -0.0856
250.00      -0.0360
300.00       0.0169
350.00       0.0735
400.00       0.1339
450.00       0.1987
500.00       0.2681
550.00       0.3426
600.00       0.4228
650.00       0.5093
700.00       0.6027
750.00       0.7039
800.00       0.8135
850.00       0.9328
900.00       1.0629
950.00       1.2050
1000.00       1.3609
1050.00       1.5323
1100.00       1.7215
1150.00       1.9310
1200.00       2.1641
1250.00       2.4243
1300.00       2.7162
1350.00       3.0454
1400.00       3.4186
1450.00       3.8443
1500.00       4.3331
1550.00       4.8983
1600.00       5.5572
1650.00       6.3322
1700.00       7.2530
1750.00       8.3592
1800.00       9.7052
1850.00      11.3667
1900.00      13.4522
1950.00      16.1208
2000.00      19.6138
2050.00      24.3102
2100.00      30.8316
2150.00      40.2476
2200.00      54.5004
2250.00      77.2992
2300.00     115.8143
2350.00     181.5894
2400.00     276.8526
2450.00     362.0232
2500.00     393.4740
2550.00     362.6563
2600.00     277.9344
2650.00     182.6749
2700.00     116.7811
2750.00      78.2444
2800.00      55.5041
2850.00      41.3548
2900.00      32.0680
2950.00      25.6928
3000.00      21.1557
3050.00      17.8335
3100.00      15.3468
3150.00      13.4547
3200.00      11.9991
3250.00      10.8727
3300.00      10.0012
3350.00       9.3322
3400.00       8.8282
3450.00       8.4621
3500.00       8.2144
3550.00       8.0716
3600.00       8.0241
3650.00       8.0664
3700.00       8.1957
3750.00       8.4120
3800.00       8.7182
3850.00       9.1197
3900.00       9.6248
3950.00      10.2455
4000.00      10.9976
4050.00      11.9022
4100.00      12.9867
4150.00      14.2867
4200.00      15.8493
4250.00      17.7363
4300.00      20.0301
4350.00      22.8417
4400.00      26.3228
4450.00      30.6825
4500.00      36.2137
4550.00      43.3295
4600.00      52.6138
4650.00      64.8808
4700.00      81.2094
4750.00     102.8394
4800.00     130.6340
4850.00     163.6869
4900.00     197.3728
4950.00     223.2808
5000.00     233.1308
5050.00     223.5509
5100.00     197.8622
5150.00     164.3227
5200.00     131.3632
5250.00     103.6441
5300.00      82.0951
5350.00      65.8605
5400.00      53.7015
5450.00      44.5377
5500.00      37.5539
5550.00      32.1653
5600.00      27.9586
5650.00      24.6414
5700.00      22.0049
5750.00      19.8986
5800.00      18.2127
5850.00      16.8662
5900.00      15.7989
5950.00      14.9661
6000.00      14.3344
6050.00      13.8791
6100.00      13.5825
6150.00      13.4325
6200.00      13.4215
6250.00      13.5463
6300.00      13.8075
6350.00      14.2093
6400.00      14.7601
6450.00      15.4724
6500.00      16.3636
6550.00      17.4570
6600.00      18.7826
6650.00      20.3790
6700.00      22.2956
6750.00      24.5953
6800.00      27.3582
6850.00      30.6861
6900.00      34.7082
6950.00      39.5875
7000.00      45.5258
7050.00      52.7663
7100.00      61.5850
7150.00      72.2577
7200.00      84.9804
7250.00      99.7119
7300.00     115.9289
7350.00     132.3628
7400.00     146.9263
7450.00     157.0929
7500.00     160.7380
7550.00     157.0236
7600.00     146.7743
7650.00     132.1070
7700.00     115.5481
7750.00      99.1899
7800.00      84.3072
7850.00      71.4273
7900.00      60.5936
7950.00      51.6105
8000.00      44.2013
8050.00      38.0890
8100.00      33.0290
8150.00      28.8178
8200.00      25.2908
8250.00      22.3172
8300.00      19.7931
8350.00      17.6363
8400.00      15.7815
8450.00      14.1767
8500.00      12.7802
8550.00      11.5584
8600.00      10.4838
8650.00       9.5343
8700.00       8.6914
8750.00       7.9401
8800.00       7.2677
8850.00       6.6637
8900.00       6.1193
8950.00       5.6270
9000.00       5.1804
9050.00       4.7741
9100.00       4.4034
9150.00       4.0645
9200.00       3.7537
9250.00       3.4681
9300.00       3.2051
9350.00       2.9624
9400.00       2.7380
9450.00       2.5302
9500.00       2.3373
9550.00       2.1580
9600.00       1.9912
9650.00       1.8356
9700.00       1.6904
9750.00       1.5546
9800.00       1.4275
9850.00       1.3084
9900.00       1.1966
9950.00       1.0916
10000.00       0.9929
