Position  Profile
363.64      -0.5448
409.70      -0.5117
455.76      -0.4756
501.83      -0.4361
547.89      -0.3929
593.95      -0.3455
640.02      -0.2934
686.08      -0.2361
732.15      -0.1729
778.21      -0.1030
824.27      -0.0256
870.34       0.0602
916.40       0.1557
962.46       0.2621
1008.53       0.3810
1054.59       0.5140
1100.65       0.6633
1146.72       0.8323
1192.78       1.0232
1238.85       1.2391
1284.91       1.4839
1330.97       1.7621
1377.04       2.0791
1423.10       2.4412
1469.16       2.8561
1515.23       3.3329
1561.29       3.8829
1607.35       4.5200
1653.42       5.2617
1699.48       6.1320
1745.55       7.1744
1791.61       8.4219
1837.67       9.9316
1883.74      11.7826
1929.80      14.0875
1975.86      17.0097
2021.93      20.7933
2067.99      25.8146
2114.06      32.6740
2160.12      42.3645
2206.18      56.5875
2252.25      78.3319
2298.31     113.8480
2344.37     173.5553
2390.44     258.0309
2436.50     338.4558
2482.56     381.9619
2528.63     375.3106
2574.69     320.3246
2620.76     237.9223
2666.82     160.0630
2712.88     106.4268
2758.95      73.7707
2805.01      53.7010
2851.07      40.7886
2897.14      32.2507
2943.20      26.2278
2989.26      21.8142
3035.33      18.5084
3081.39      15.9873
3127.46      14.0375
3173.52      12.5136
3219.58      11.3149
3265.65      10.3698
3311.71       9.6269
3357.77       9.0484
3403.84       8.6063
3449.90       8.2804
3495.96       8.0630
3542.03       7.9335
3588.09       7.8849
3634.16       7.9124
3680.22       8.0135
3726.28       8.1876
3772.35       8.4359
3818.41       8.7617
3864.47       9.1698
3910.54       9.6675
3956.60      10.2643
4002.66      10.9727
4048.73      11.8130
4094.79      12.8142
4140.86      13.9958
4186.92      15.3933
4232.98      17.0525
4279.05      19.0326
4325.11      21.4108
4371.17      24.2892
4417.24      27.8034
4463.30      32.1356
4509.37      37.5317
4555.43      44.3259
4601.49      52.9712
4647.56      64.2748
4693.62      79.1215
4739.68      98.3738
4785.75     122.7096
4831.81     151.6623
4877.87     182.4663
4923.94     209.7766
4970.00     227.2210
5016.07     230.0518
5062.13     217.3173
5108.19     192.3629
5154.26     161.5111
5200.32     131.1772
5246.38     105.6373
5292.45      85.3349
5338.51      69.5715
5384.57      57.4286
5430.64      48.0570
5476.70      40.7732
5522.77      35.0592
5568.83      30.5330
5614.89      26.9150
5660.96      24.0000
5707.02      21.6367
5753.08      19.7128
5799.15      18.1495
5845.21      16.8924
5891.27      15.8709
5937.34      15.0506
5983.40      14.4046
6029.47      13.9128
6075.53      13.5597
6121.59      13.3341
6167.66      13.2284
6213.72      13.2380
6259.78      13.3611
6305.85      13.5985
6351.91      13.9536
6397.97      14.4391
6444.04      15.0656
6490.10      15.8409
6536.17      16.7822
6582.23      17.9115
6628.29      19.2568
6674.36      20.8526
6720.42      22.7419
6766.48      24.9785
6812.55      27.6287
6858.61      30.7749
6904.67      34.5187
6950.74      38.9850
6996.80      44.4084
7042.87      50.9448
7088.93      58.7897
7134.99      68.1536
7181.06      79.1974
7227.12      91.9415
7273.18     106.1309
7319.25     121.0786
7365.31     135.5644
7411.38     147.8940
7457.44     156.1970
7503.50     158.9399
7549.57     155.4110
7595.63     145.9119
7641.69     132.6652
7687.76     117.5974
7733.82     102.3449
7779.88      88.0178
7825.95      75.2027
7872.01      64.0908
7918.08      54.6302
7964.14      46.6507
8010.20      39.9403
8056.27      34.2965
8102.33      29.5375
8148.39      25.5314
8194.46      22.1467
8240.52      19.2479
8286.58      16.7568
8332.65      14.6099
8378.71      12.7548
8424.78      11.1483
8470.84       9.7538
8516.90       8.5414
8562.97       7.4864
8609.03       6.5669
8655.09       5.7642
8701.16       5.0622
8747.22       4.4502
8793.28       3.9132
8839.35       3.4400
8885.41       3.0221
8931.48       2.6524
8977.54       2.3244
9023.60       2.0330
9069.67       1.7734
9115.73       1.5415
9161.79       1.3339
9207.86       1.1476
9253.92       0.9801
9299.98       0.8290
9346.05       0.6929
9392.11       0.5696
9438.18       0.4576
9484.24       0.3558
9530.30       0.2629
